,gender,age,local_or_non_local,university,current_study,year_of_study,drinking_frequency,drinking_consumption_amount,drinking_frequency_six_servings,type_of_drink,drinking_occasion,drinking_frequency_before_examination,gpa,activity_1,activity_2,academic_achievements,professional_examinations,nationality,drinking_consumption_amount_score,drinking_frequency_score,drinking_frequency_six_servings_score,drinking_frequency_before_examination_score,risk_score
170,Female 女性,20,Local student 本地生,The Hong Kong University of Science and Technology (HKUST) 香港科技大學,Undergraduate student 本科生,3.0,2-4 times a month 每月二至四次,6.0,Monthly 每月,Vodka 伏特加,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,2.817,1.0,0.0,1,0.0,Hong Kong,3,2,2,1,8
171,Female 女性,21,Local student 本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,3.0,2-4 times a month 每月二至四次,3.0,Less than once per month 少於每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.58,0.0,0.0,2,0.0,Hong Kong,2,2,1,0,5
172,Male 男性,22,Local student 本地生,The Chinese University of Hong Kong (CUHK) 香港中文大學,Undergraduate student 本科生,4.0,Monthly or less 少於每月,3.0,Monthly 每月,Beer 啤酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）",Never (0%) 從來不會,3.891,1.0,1.0,3,0.0,Hong Kong,2,1,2,0,5
173,Male 男性,21,Local student 本地生,The Hong Kong University of Science and Technology (HKUST) 香港科技大學,Undergraduate student 本科生,3.0,Monthly or less 少於每月,3.0,Less than once per month 少於每月,Soju 燒酒,"Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Never (0%) 從來不會,3.68,1.0,0.0,6,0.0,Hong Kong,2,1,1,0,4
174,Female 女性,22,Local student 本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,4.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.9,1.0,1.0,2,1.0,Hong Kong,0,0,0,0,0
175,Female 女性,18,Local student 本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,1.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.89,1.0,0.0,1,1.0,Hong Kong,0,0,0,0,0
176,Female 女性,22,Local student 本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,4.0,Never 從來不飲用,0.0,Never 從來不會,I don't consume alcoholic beverage 我不飲用含酒精的飲料,I don't consume alcoholic beverage 我不飲用含酒精的飲料,Never (0%) 從來不會,3.69,0.0,1.0,0,1.0,Hong Kong,0,0,0,0,0
177,Male 男性,19,Local student 本地生,The Education University of Hong Kong (EduU) 香港教育大學,Undergraduate student 本科生,2.0,2-3 times a week 每週二至三次,4.0,Less than once per month 少於每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Networking or career-related events 社交或工作相關的場合;Family gatherings 家庭聚會",Never (0%) 從來不會,3.04,0.0,0.0,0,0.0,Hong Kong,2,3,1,0,6
178,Male 男性,20,Local student 本地生,The Education University of Hong Kong (EduU) 香港教育大學,Undergraduate student 本科生,3.0,2-4 times a month 每月二至四次,4.5,Less than once per month 少於每月,Beer 啤酒,"Family gatherings 家庭聚會;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.16,0.0,0.0,1,0.0,Hong Kong,3,2,1,1,7
179,Male 男性,21,Non-local student 非本地生,The University of Hong Kong (HKU) 香港大學,Undergraduate student 本科生,4.0,2-3 times a week 每週二至三次,5.0,Monthly 每月,Soju 燒酒,"Special events (birthdays, graduation, etc.) 特殊場合 （生日、畢業等等）;Socialising with friends (dorm/student club events, night out with friends, etc.) 朋友聚會 （宿舍或學生社團活動、夜生活等等）",Occasionally (20%) 偶爾,3.1,0.0,0.0,0,0.0,"Korea, South",3,3,2,1,9
